预警类型,预警对象,岗位数量,平均薪资,说明
高需求低薪,生产制造类,770,10554.92,招聘需求排名靠前，但薪资水平低于多数岗位类别
招聘量异常集中,产品运营类 - 2025-02,104,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,产品运营类 - 2025-03,111,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,产品运营类 - 2025-04,109,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,供应链物流类 - 2025-02,64,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,供应链物流类 - 2025-03,89,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,供应链物流类 - 2025-04,79,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,其他类 - 2025-03,29,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,其他类 - 2025-04,29,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,客服服务类 - 2025-02,59,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,客服服务类 - 2025-03,67,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,客服服务类 - 2025-04,44,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,市场销售类 - 2025-02,529,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,市场销售类 - 2025-03,571,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,市场销售类 - 2025-04,508,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,技术研发类 - 2025-02,1120,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,技术研发类 - 2025-03,1328,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,技术研发类 - 2025-04,1246,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,教育医疗类 - 2025-03,37,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,生产制造类 - 2025-02,179,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,生产制造类 - 2025-03,219,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,生产制造类 - 2025-04,178,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,行政人事类 - 2025-02,109,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,行政人事类 - 2025-03,146,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,行政人事类 - 2025-04,137,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,财务法务类 - 2025-02,80,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,财务法务类 - 2025-03,111,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,财务法务类 - 2025-04,114,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,项目管理类 - 2025-02,39,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,项目管理类 - 2025-03,48,,某岗位类别在单月招聘量显著高于自身历史均值
招聘量异常集中,项目管理类 - 2025-04,40,,某岗位类别在单月招聘量显著高于自身历史均值
