变量,系数,影响方向,影响强度排序
截距,8.666253263727642,正向,1
工作地点简化_武汉,-0.21989966211804268,负向,2
行业类别简化_金融,0.216984918928031,正向,3
岗位类别简化_行政人事类,-0.2151836490014363,负向,4
岗位类别简化_财务法务类,-0.20747110116690737,负向,5
岗位类别简化_供应链物流类,-0.15817045107891953,负向,6
学历分值,0.15554673660905563,正向,7
工作地点简化_广州,-0.1464601475677244,负向,8
岗位类别简化_客服服务类,-0.14361907120976267,负向,9
岗位类别简化_生产制造类,-0.12697671623374335,负向,10
工作地点简化_杭州,-0.12595474762070094,负向,11
行业类别简化_制造业,0.10743781493819282,正向,12
行业类别简化_能源环保,0.10292064203736719,正向,13
岗位类别简化_其他,-0.08586583193085368,负向,14
工作地点简化_其他,-0.08369325496596991,负向,15
经验分值,0.07110376643385732,正向,16
工作地点简化_未知,-0.06662312678076032,负向,17
工作地点简化_深圳,0.05705859204756717,正向,18
行业类别简化_医疗健康,-0.04573209114384457,负向,19
岗位类别简化_市场销售类,-0.04557357071549117,负向,20
行业类别简化_咨询服务,-0.040833192290418784,负向,21
工作地点简化_惠州,-0.034720497178976635,负向,22
行业类别简化_服装消费品,-0.02586558443996443,负向,23
工作地点简化_苏州,0.01958658416346998,正向,24
技能数量,0.01509242791789332,正向,25
行业类别简化_其他,0.01402898852795501,正向,26
福利数量,0.0029245698601204923,正向,27
岗位类别简化_技术研发类,0.002022246382232884,正向,28
